 2016-04-29 10:58:44,140 [P129404/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on PIL
 2016-04-29 10:58:52,215 [P129404/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-04-29 10:58:52,291 [P129404/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 8585ms)
 2016-04-29 10:58:59,595 [P129404/D2/T6] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:58906/umbraco (UmbracoModule request)
 2016-04-29 10:59:00,345 [P129404/D2/T7] INFO  umbraco.content - Load Xml from file...
 2016-04-29 10:59:00,371 [P129404/D2/T7] INFO  umbraco.content - Loaded Xml from file.
 2016-04-29 10:59:01,148 [P129404/D2/T6] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2016-04-29 10:59:03,139 [P129404/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-04-29 10:59:03,143 [P129404/D2/T7] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 4ms)
 2016-04-29 10:59:11,185 [P129404/D2/T7] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2016-04-29 11:00:00,580 [P129404/D2/T15] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-04-28 11:00:00
 2016-04-29 11:00:00,829 [P129404/D2/T8] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-04-29 11:00:00,832 [P129404/D2/T8] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 2ms)
 2016-04-29 11:01:14,884 [P129404/D2/T12] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2016-04-29 11:01:16,852 [P129404/D2/T24] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username rasmus.pil@live.dk from IP address ::1
 2016-04-29 11:01:16,857 [P129404/D2/T24] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: User: rasmus.pil@live.dk logged in from IP address ::1
 2016-04-29 11:01:17,376 [P129404/D2/T24] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-04-29 11:01:17,380 [P129404/D2/T24] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 4ms)
 2016-04-29 11:01:17,584 [P129404/D2/T25] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2016-04-29 11:01:17,590 [P129404/D2/T25] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 5ms)
 2016-04-29 11:01:17,693 [P129404/D2/T8] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-04-29 11:01:17,697 [P129404/D2/T8] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 3ms)
 2016-04-29 11:01:17,726 [P129404/D2/T8] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-04-29 11:01:17,727 [P129404/D2/T8] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2016-04-29 11:01:17,741 [P129404/D2/T8] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-04-29 11:01:17,742 [P129404/D2/T8] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 1ms)
 2016-04-29 11:02:09,116 [P129404/D2/T8] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Home' with Id '1063' has been published.
 2016-04-29 11:02:09,401 [P129404/D2/T8] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ICacheRefresher
 2016-04-29 11:02:09,405 [P129404/D2/T8] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 0 (took 4ms)
 2016-04-29 11:02:13,925 [P129404/D2/T13] INFO  umbraco.content - Save Xml to file...
 2016-04-29 11:02:13,937 [P129404/D2/T8] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 11:10:34,683 [P129404/D2/T12] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Home' with Id '1063' has been published.
 2016-04-29 11:10:38,767 [P129404/D2/T16] INFO  umbraco.content - Save Xml to file...
 2016-04-29 11:10:38,779 [P129404/D2/T16] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 11:12:12,715 [P129404/D2/T8] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Home' with Id '1063' has been published.
 2016-04-29 11:12:16,849 [P129404/D2/T30] INFO  umbraco.content - Save Xml to file...
 2016-04-29 11:12:16,860 [P129404/D2/T30] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 11:16:46,139 [P129404/D2/T8] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Home' with Id '1063' has been published.
 2016-04-29 11:16:50,282 [P129404/D2/T30] INFO  umbraco.content - Save Xml to file...
 2016-04-29 11:16:50,295 [P129404/D2/T60] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 11:31:42,316 [P129404/D2/T16] INFO  Umbraco.Core.Logging.OwinLogger - Event Id: 0, state: User logged will be logged out due to timeout: rasmus.pil@live.dk, IP Address: ::1
 2016-04-29 12:33:29,326 [P129404/D2/T297] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username rasmus.pil@live.dk from IP address ::1
 2016-04-29 12:33:29,326 [P129404/D2/T297] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: User: rasmus.pil@live.dk logged in from IP address ::1
 2016-04-29 12:43:17,003 [P129404/D2/T294] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Home' with Id '1063' has been published.
 2016-04-29 12:43:21,148 [P129404/D2/T8] INFO  umbraco.content - Save Xml to file...
 2016-04-29 12:43:21,155 [P129404/D2/T297] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 12:44:12,054 [P129404/D2/T307] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Home' with Id '1063' has been published.
 2016-04-29 12:44:16,195 [P129404/D2/T310] INFO  umbraco.content - Save Xml to file...
 2016-04-29 12:44:16,202 [P129404/D2/T310] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 12:45:48,398 [P129404/D2/T294] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-04-29 12:45:48,399 [P129404/D2/T294] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2016-04-29 12:46:16,233 [P129404/D2/T297] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Me Short' with Id '0' has been published.
 2016-04-29 12:46:20,324 [P129404/D2/T330] INFO  umbraco.content - Save Xml to file...
 2016-04-29 12:46:20,335 [P129404/D2/T330] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 12:47:32,891 [P129404/D2/T293] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Me Short' with Id '1086' has been published.
 2016-04-29 12:47:37,003 [P129404/D2/T300] INFO  umbraco.content - Save Xml to file...
 2016-04-29 12:47:37,010 [P129404/D2/T293] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 12:47:55,354 [P129404/D2/T294] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Me Short' with Id '1086' has been published.
 2016-04-29 12:47:59,437 [P129404/D2/T300] INFO  umbraco.content - Save Xml to file...
 2016-04-29 12:47:59,444 [P129404/D2/T319] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 12:48:07,702 [P129404/D2/T328] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-04-29 12:48:07,702 [P129404/D2/T328] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2016-04-29 12:48:42,350 [P129404/D2/T325] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Me Short' with Id '1086' has been published.
 2016-04-29 12:48:46,465 [P129404/D2/T317] INFO  umbraco.content - Save Xml to file...
 2016-04-29 12:48:46,472 [P129404/D2/T293] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 12:49:29,885 [P129404/D2/T331] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Me Short' with Id '1086' has been published.
 2016-04-29 12:49:34,058 [P129404/D2/T331] INFO  umbraco.content - Save Xml to file...
 2016-04-29 12:49:34,068 [P129404/D2/T289] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 12:49:57,435 [P129404/D2/T325] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Me Short' with Id '1086' has been published.
 2016-04-29 12:50:01,536 [P129404/D2/T317] INFO  umbraco.content - Save Xml to file...
 2016-04-29 12:50:01,550 [P129404/D2/T317] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 12:50:13,482 [P129404/D2/T331] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'About' with Id '1072' has been published.
 2016-04-29 12:50:17,550 [P129404/D2/T317] INFO  umbraco.content - Save Xml to file...
 2016-04-29 12:50:17,564 [P129404/D2/T284] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 12:52:21,768 [P129404/D2/T317] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '0' has been published.
 2016-04-29 12:52:26,022 [P129404/D2/T302] INFO  umbraco.content - Save Xml to file...
 2016-04-29 12:52:26,037 [P129404/D2/T302] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 12:59:05,793 [P129404/D2/T322] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 12:59:09,883 [P129404/D2/T278] INFO  umbraco.content - Save Xml to file...
 2016-04-29 12:59:09,900 [P129404/D2/T293] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:01:21,447 [P129404/D2/T302] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:01:25,595 [P129404/D2/T293] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:01:25,607 [P129404/D2/T269] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:02:13,960 [P129404/D2/T272] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:02:18,047 [P129404/D2/T272] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:02:18,055 [P129404/D2/T272] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:02:43,104 [P129404/D2/T293] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:02:47,190 [P129404/D2/T306] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:02:47,204 [P129404/D2/T261] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:05:18,269 [P129404/D2/T278] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:05:22,376 [P129404/D2/T247] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:05:22,388 [P129404/D2/T306] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:07:51,282 [P129404/D2/T247] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:07:55,398 [P129404/D2/T293] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:07:55,409 [P129404/D2/T293] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:08:21,671 [P129404/D2/T306] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:08:25,759 [P129404/D2/T233] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:08:25,792 [P129404/D2/T218] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:09:16,035 [P129404/D2/T247] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:09:20,129 [P129404/D2/T233] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:09:20,156 [P129404/D2/T233] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:11:16,244 [P129404/D2/T224] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:11:20,331 [P129404/D2/T226] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:11:20,341 [P129404/D2/T264] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:12:11,464 [P129404/D2/T204] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:12:15,562 [P129404/D2/T226] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:12:15,571 [P129404/D2/T205] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:15:10,335 [P129404/D2/T218] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:15:14,406 [P129404/D2/T214] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:15:14,413 [P129404/D2/T212] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:16:39,045 [P129404/D2/T210] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:16:43,145 [P129404/D2/T233] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:16:43,151 [P129404/D2/T237] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:17:53,164 [P129404/D2/T229] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:17:57,283 [P129404/D2/T216] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:17:57,292 [P129404/D2/T216] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:18:56,551 [P129404/D2/T226] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:19:00,640 [P129404/D2/T216] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:19:00,653 [P129404/D2/T216] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:20:33,936 [P129404/D2/T233] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:20:38,045 [P129404/D2/T216] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:20:38,062 [P129404/D2/T261] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:22:43,659 [P129404/D2/T230] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:22:47,721 [P129404/D2/T216] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:22:47,731 [P129404/D2/T269] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:24:22,281 [P129404/D2/T230] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:24:26,425 [P129404/D2/T272] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:24:26,433 [P129404/D2/T332] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:24:56,900 [P129404/D2/T256] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:25:01,011 [P129404/D2/T326] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:25:01,016 [P129404/D2/T256] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:25:28,839 [P129404/D2/T251] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:25:32,922 [P129404/D2/T332] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:25:32,936 [P129404/D2/T332] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:27:11,467 [P129404/D2/T258] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Home' with Id '1063' has been published.
 2016-04-29 13:27:15,550 [P129404/D2/T251] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:27:15,562 [P129404/D2/T251] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:27:45,808 [P129404/D2/T246] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:27:49,953 [P129404/D2/T251] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:27:49,960 [P129404/D2/T241] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:30:02,494 [P129404/D2/T250] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:30:06,578 [P129404/D2/T239] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:30:06,590 [P129404/D2/T239] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:30:20,064 [P129404/D2/T239] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:30:24,141 [P129404/D2/T258] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:30:24,147 [P129404/D2/T240] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:32:24,271 [P129404/D2/T254] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:32:28,779 [P129404/D2/T271] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:32:28,991 [P129404/D2/T271] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:32:58,117 [P129404/D2/T254] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:33:02,879 [P129404/D2/T254] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:33:02,944 [P129404/D2/T254] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:33:22,411 [P129404/D2/T271] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:33:26,771 [P129404/D2/T271] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:33:26,777 [P129404/D2/T254] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:33:39,245 [P129404/D2/T268] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:33:43,376 [P129404/D2/T254] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:33:43,391 [P129404/D2/T248] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:34:16,217 [P129404/D2/T234] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:34:20,349 [P129404/D2/T268] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:34:20,369 [P129404/D2/T237] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:35:57,093 [P129404/D2/T251] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:36:01,188 [P129404/D2/T251] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:36:01,194 [P129404/D2/T251] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:36:48,585 [P129404/D2/T267] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:36:52,715 [P129404/D2/T273] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:36:52,725 [P129404/D2/T273] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:39:01,151 [P129404/D2/T242] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:39:05,253 [P129404/D2/T273] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:39:05,269 [P129404/D2/T273] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:39:43,634 [P129404/D2/T251] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:39:47,736 [P129404/D2/T244] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:39:47,744 [P129404/D2/T329] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:40:21,632 [P129404/D2/T269] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:40:25,736 [P129404/D2/T251] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:40:25,764 [P129404/D2/T329] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:40:39,914 [P129404/D2/T269] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:40:43,971 [P129404/D2/T251] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:40:43,982 [P129404/D2/T272] INFO  umbraco.content - Saved Xml to file.
 2016-04-29 13:41:51,789 [P129404/D2/T326] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'What can I offer' with Id '1087' has been published.
 2016-04-29 13:41:56,012 [P129404/D2/T272] INFO  umbraco.content - Save Xml to file...
 2016-04-29 13:41:56,037 [P129404/D2/T339] INFO  umbraco.content - Saved Xml to file.
